+--------------------------------------+
|          Performance of CNN          |
| Metric  | Performance | St.Deviation |
| M-Class |             |              |
| Acc     | 0.9673      | 0.0056       |
| Loss    | 0.1045      | 0.0176       |
|         |             |              |
| B-Class |             |              |
| TPR     | 0.9781      | 0.0067       |
| Acc     | 0.9828      | 0.004        |
| F1      | 0.9776      | 0.0059       |
| MCC     | 0.9638      | 0.0087       |
